time,y,y_dot
2.129999999999999893e+00,9.016111807776953091e-01,3.832258886031260081e-01
2.140000000000000124e+00,9.054291788067065916e-01,3.803726598907881673e-01
2.149999999999999911e+00,9.092185977030795563e-01,3.775099742265178304e-01
2.160000000000000142e+00,9.129793449808029093e-01,3.746382107353827817e-01
2.169999999999999929e+00,9.167113317816228957e-01,3.717577455986426083e-01
2.180000000000000160e+00,9.204144728750449644e-01,3.688689520537473121e-01
2.189999999999999947e+00,9.240886866583321035e-01,3.659722003943388091e-01
2.200000000000000178e+00,9.277338951565067271e-01,3.630678579702494857e-01
2.209999999999999964e+00,9.313500240223488991e-01,3.601562891875035310e-01
2.220000000000000195e+00,9.349370025363975545e-01,3.572378555083157159e-01
2.229999999999999982e+00,9.384947636069497223e-01,3.543129154510925582e-01
2.240000000000000213e+00,9.420232437700615247e-01,3.513818245904311022e-01
2.250000000000000000e+00,9.455223831895465114e-01,3.484449355571201945e-01
2.260000000000000231e+00,9.489921256569777697e-01,3.455025980381393191e-01
2.270000000000000018e+00,9.524324185916858143e-01,3.425551587766595407e-01
2.280000000000000249e+00,9.558432126098179715e-01,3.396029615849985306e-01
2.290000000000000036e+00,9.592244601929226233e-01,3.366463476171502878e-01
2.300000000000000266e+00,9.625761196825417532e-01,3.336856553252006141e-01
2.310000000000000053e+00,9.658981529353491968e-01,3.307212201603496604e-01
2.319999999999999840e+00,9.691905248858206923e-01,3.277533745599121584e-01
2.330000000000000071e+00,9.724532035462336577e-01,3.247824479473174764e-01
2.339999999999999858e+00,9.756861600066665252e-01,3.218087667321103962e-01
2.350000000000000089e+00,9.788893684349996294e-01,3.188326543099498922e-01
2.359999999999999876e+00,9.820628060769146517e-01,3.158544310626102969e-01
2.370000000000000107e+00,9.852064532558948429e-01,3.128744143579803572e-01
2.379999999999999893e+00,9.883202933732246898e-01,3.098929185500639560e-01
2.390000000000000124e+00,9.914043129079908034e-01,3.069102549789796130e-01
2.399999999999999911e+00,9.944585014170804760e-01,3.039267319709608728e-01
2.410000000000000142e+00,9.974828515351832348e-01,3.009426548383558053e-01
2.419999999999999929e+00,1.000477358974789510e+00,2.979583258796277279e-01
2.430000000000000160e+00,1.003442022526191968e+00,2.949740443793543165e-01
2.439999999999999947e+00,1.006376844057483844e+00,2.919901066082286056e-01
2.450000000000000178e+00,1.009281828514560608e+00,2.890068058230578774e-01
2.459999999999999964e+00,1.012156983921118858e+00,2.860244322667648276e-01
2.470000000000000195e+00,1.015002320231121802e+00,2.830432734102113490e-01
2.479999999999999982e+00,1.017817849638753103e+00,2.800636142026127207e-01
2.490000000000000213e+00,1.020603589805495481e+00,2.770857362926658629e-01
2.500000000000000000e+00,1.023359560981100813e+00,2.741099183394182792e-01
2.510000000000000231e+00,1.026085785914053750e+00,2.711364360264857942e-01
2.520000000000000018e+00,1.028782289851571941e+00,2.681655620620532754e-01
2.530000000000000249e+00,1.031449100539606256e+00,2.651975661788736893e-01
2.540000000000000036e+00,1.034086248222839233e+00,2.622327151342691565e-01
2.550000000000000266e+00,1.036693765644687293e+00,2.592712727101298409e-01
2.560000000000000053e+00,1.039271688047299191e+00,2.563134997129150605e-01
2.569999999999999840e+00,1.041820053171556237e+00,2.533596539736523434e-01
2.580000000000000071e+00,1.044338901257072960e+00,2.504099903479379274e-01
